Tamanho id,Cat Tamanho id,Tamanhos,Ordem
DdcX6BcSRfWk.p28DZnQRw,4fbKznm1SBK0oo9kp.oM7Q,10 DEGRAUS,
vnzNyyJ3RfiYyMEID8umiQ,4fbKznm1SBK0oo9kp.oM7Q,12 DEGRAUS,
SSgukN-xRQmkGRCvNFOf2w,4fbKznm1SBK0oo9kp.oM7Q,"14,45M",
Pd9VuUonTxi4Cz3KldQ-QQ,ViU2USNJRHq0ozZts2ayIg,"1,5M",
VPMH0ix8TQW375VpvjA-tw,ViU2USNJRHq0ozZts2ayIg,70cm,
cdez2lXOSbiqaOlAdWYggQ,ViU2USNJRHq0ozZts2ayIg,"4,5M",
z201o5YaSfqwXx-0qv84hg,ViU2USNJRHq0ozZts2ayIg,2M,
YyRdD57sTQmdXQuhWFnzeA,ViU2USNJRHq0ozZts2ayIg,80cm,
b2xX06N8SEm7.2vo0yY.6w,ViU2USNJRHq0ozZts2ayIg,90cm,
ulTj01UiQC6d7p4fVbwr3g,ViU2USNJRHq0ozZts2ayIg,"1,20M",
93Td6oR2Q.Wsxd-dOD8--A,ViU2USNJRHq0ozZts2ayIg,260ml,
PHqcP6VXSaes962lTsDxBw,ViU2USNJRHq0ozZts2ayIg,10ml,
5Ihv7VJ-Qm2Cb2TpWeXDrg,ViU2USNJRHq0ozZts2ayIg,120ml,
wRqjolsbRZGKpxrVhWtlew,ViU2USNJRHq0ozZts2ayIg,400ml,
ThbUkyEDQBqxDz2BJSQzhg,ViU2USNJRHq0ozZts2ayIg,60ml,
CuDXaoT5S5uHaNvVubOqvg,ViU2USNJRHq0ozZts2ayIg,500ml,
26fmDTcTTDKsQfZ.EHaLag,4fbKznm1SBK0oo9kp.oM7Q,"1,5M",
QqRgJEssRnyXLHtJCWLqTg,4fbKznm1SBK0oo9kp.oM7Q,1M,
vhpCpz2JQSWlj8dDNPX1SA,4fbKznm1SBK0oo9kp.oM7Q,70cm,
ZOV5vsepQDeiCbBq96mWSw,4fbKznm1SBK0oo9kp.oM7Q,80cm,
R7Ds4ty9QNO8pt6CN.dzsQ,4fbKznm1SBK0oo9kp.oM7Q,Grande,
EV5Ru9OVT4iNTq5pkCYsUg,4fbKznm1SBK0oo9kp.oM7Q,Pequena,
a-PZfnSrtSqKXjPNjLpqGaw,4fbKznm1SBK0oo9kp.oM7Q,4un.,
hLCxKehpSPqZm1QZNxt4kg,4fbKznm1SBK0oo9kp.oM7Q,"1,2L",
RjntEN2eQnyNuf8LIVEQCA,4fbKznm1SBK0oo9kp.oM7Q,300ml,
I.hHRYzDQpO8F2.YA6q6hQ,4fbKznm1SBK0oo9kp.oM7Q,50M,
wCR9m2yPRgaSMLq4LnEErg,OVY3BHlhR4ebyIZM4nNGFg,500g,
cfwXRLCWTs-ut0S8ByKw7Q,4fbKznm1SBK0oo9kp.oM7Q,3L,
wThoLxeKQdOw3dE2jKLD8g,4fbKznm1SBK0oo9kp.oM7Q,6L,
9D5NawUuTLGDYAxNbdkrhg,4fbKznm1SBK0oo9kp.oM7Q,"4,5L",
zRCCAGV7SY6np2l8JRZ10A,4fbKznm1SBK0oo9kp.oM7Q,"13,6L",
db6ew4.HS9W.xPT68wazAA,4fbKznm1SBK0oo9kp.oM7Q,105L,
UhLkFS64TbyrrCHPqY21MA,4fbKznm1SBK0oo9kp.oM7Q,"7,4L",
rt-t3KiwSUKvPsZGnMxscQ,4fbKznm1SBK0oo9kp.oM7Q,100L,
K1tnqgJyQD-HzxH8Gy22Sw,4fbKznm1SBK0oo9kp.oM7Q,48L,
H7-z-8EBTpSMvgQZ.YA5pQ,4fbKznm1SBK0oo9kp.oM7Q,4L,1
gO5Vtjp4RNiOv5vGNwElEg,4fbKznm1SBK0oo9kp.oM7Q,5L,
a.h1R9ASzSiC2JFmjfhtF-A,4fbKznm1SBK0oo9kp.oM7Q,10un.,
DPgJkfrQSQ6AVoweeocsRw,4fbKznm1SBK0oo9kp.oM7Q,2L,
MzuKB7suT9yKmoBK.SsZ8g,4fbKznm1SBK0oo9kp.oM7Q,100un.,
0jSwnDawQz-1Ut0ilhouzQ,4fbKznm1SBK0oo9kp.oM7Q,8un.,
qtkqbMSxS1eNrzLp7VZ8Ug,4fbKznm1SBK0oo9kp.oM7Q,22M,
mt0zuN2DTnycrlCEJXksnA,4fbKznm1SBK0oo9kp.oM7Q,3X4cm,
CwRTn8FeQa2LUFa6MNE28g,4fbKznm1SBK0oo9kp.oM7Q,4X4cm,
hqyrdOSHQtuLfhAlvMpZyg,4fbKznm1SBK0oo9kp.oM7Q,"1,8M",
lp3.chIPRESBDBJ7mwZSNQ,PZOwW1.1ROSiob7KmFoQKw,200ml,
og1Y2VC7R4WegF-X-AqN4Q,PZOwW1.1ROSiob7KmFoQKw,100ml,
XW5uiH1zT9KwBmZOvPcbPg,PZOwW1.1ROSiob7KmFoQKw,400ml,
SkWR6PvbRSa5rz5aJSxqlA,PZOwW1.1ROSiob7KmFoQKw,300ml,
UjirrdODTs2T-5q9SmouSA,PZOwW1.1ROSiob7KmFoQKw,200g,
GrzUQVrRQVWoqt7GKwwgKA,PZOwW1.1ROSiob7KmFoQKw,"1,3M",
lrTOa.Z2Q.el9W3JHupxaA,Nlfwazk9RPKFunUcFg8mTA,"1,3M",
lR0hGOTPT-6cALKJwX8wxg,Nlfwazk9RPKFunUcFg8mTA,1M,
DRalxNkdTW-hYAq.k.62ZQ,Nlfwazk9RPKFunUcFg8mTA,30X70cm,
Cv0PvycuTE-rJ3WadbUmng,Nlfwazk9RPKFunUcFg8mTA,"1,20MX10mm",
usKNnuDFQE6zeulBAh2VRA,Nlfwazk9RPKFunUcFg8mTA,3un.,
u1lf2qIJQEGv1APrV9SGUw,Nlfwazk9RPKFunUcFg8mTA,43X61cm,
5c.36fLGSBacsYGRDFLLdQ,Nlfwazk9RPKFunUcFg8mTA,45X75cm,
qwrYZOEDT8WxNr1CORFohw,Nlfwazk9RPKFunUcFg8mTA,900ml,
B3zuse1GQSKdA475k-YqbQ,OVY3BHlhR4ebyIZM4nNGFg,900ml,
JUe42IVXTfyDIMJJcd3DpQ,4fbKznm1SBK0oo9kp.oM7Q,"13,8L",
MffawRPORs6-YcEhiY7R8Q,4fbKznm1SBK0oo9kp.oM7Q,18L,
fMeJ9sPSSkyGCoY-JMsJ7g,4fbKznm1SBK0oo9kp.oM7Q,16L,
MpA1ahF6QP2xtKytos6Jsw,4fbKznm1SBK0oo9kp.oM7Q,33L,
bDPyCBazSTO9DNk1BPAMPQ,4fbKznm1SBK0oo9kp.oM7Q,50L,
A.QcRur7SaC1iP-3i8azVg,4fbKznm1SBK0oo9kp.oM7Q,32L,
jxgZoIpMQwieHqqLl79h1A,4fbKznm1SBK0oo9kp.oM7Q,15L - 60un.,
7xq8z-YVTvacmIJRyy0Lzg,4fbKznm1SBK0oo9kp.oM7Q,30L - 30un.,
ec3Ff9kuRn6k7aUR8BRNUA,4fbKznm1SBK0oo9kp.oM7Q,100L - 15un.,
Z8S3V5AGQdC8aTuhAabMNw,kSgfbo3eS7iVX4KjN7Bb2Q,15L - 60un.,
JpPizu1pREulstJjgL25BQ,kSgfbo3eS7iVX4KjN7Bb2Q,30L - 30un.,
T6zUzP4yQPuR58yBgoFQeQ,kSgfbo3eS7iVX4KjN7Bb2Q,100L - 15un.,
DntjY0kIQ3254Ep5eRVjKA,4fbKznm1SBK0oo9kp.oM7Q,1M,
a-JUbFlOXRw-T6bS1rYEXhQ,4fbKznm1SBK0oo9kp.oM7Q,50cm,
FcjJTu9ESPaUbO.Kc06dmA,4fbKznm1SBK0oo9kp.oM7Q,25cm,
VpclEFcvR36y6Esc8gilkg,Nlfwazk9RPKFunUcFg8mTA,38X58cm,
e8OKjxGVRGmQeFjTigRaqQ,Nlfwazk9RPKFunUcFg8mTA,70X100cm,
T2xgnEh5Txq5IhrdWF-GyA,Nlfwazk9RPKFunUcFg8mTA,90X130cm,
csTa5CUHRROVvy66Yive8A,PZOwW1.1ROSiob7KmFoQKw,450L,
lrWvcWiBTUm5Sw3vZ-acdQ,PZOwW1.1ROSiob7KmFoQKw,450ml,
i8TQZ896TMSNXEJwtt474Q,4fbKznm1SBK0oo9kp.oM7Q,35X50cm,
aSMG3s-6RrC7iKQg-90myA,Nlfwazk9RPKFunUcFg8mTA,50X70,
vXIIHHxUTXe2DtGLN39G1Q,Nlfwazk9RPKFunUcFg8mTA,50X90,
bPJE1k2HTbmyYpOfqAsleg,Nlfwazk9RPKFunUcFg8mTA,50X70 CM,
dbSaFPytTkiAF-8GCHHi-Q,4fbKznm1SBK0oo9kp.oM7Q,50X70cm,
Pp4cQHBiRlm5NHQofM9o6g,4fbKznm1SBK0oo9kp.oM7Q,48X58cm,
X7j-DORhQ1iaRYF0t3LMiw,4fbKznm1SBK0oo9kp.oM7Q,11L,
uqVCBksoSeCZ74tYRbiV1Q,4fbKznm1SBK0oo9kp.oM7Q,350mm,
CseNCjlFSpq0b6AXex9rhQ,4fbKznm1SBK0oo9kp.oM7Q,410mm,
KEgFtId3SYOnA41CbyG3Hg,4fbKznm1SBK0oo9kp.oM7Q,510mm,
tERhplSWRV-AumLny5552w,jeYTQJlURsa6DNeh4ubtng,350mm,
kZUOqCZZQo2rM3RO-DfqbQ,jeYTQJlURsa6DNeh4ubtng,510mm,
y3ikbS-0TqC1MwIBUMbrfA,jeYTQJlURsa6DNeh4ubtng,410mm,
XEwf4TgQR2CcYOlFO0QSXA,Nlfwazk9RPKFunUcFg8mTA,15 micras,
RRILJOXiQa--q5kyjEMrTg,Nlfwazk9RPKFunUcFg8mTA,20 micras,
NnuSSmJ7SqO96TLMQslKCw,Nlfwazk9RPKFunUcFg8mTA,40 micras,
1TB6.BGfQyuX8-JPLOQyng,PZOwW1.1ROSiob7KmFoQKw,700ml,
ieKyKYF.TcCCRbAtEprr4w,PZOwW1.1ROSiob7KmFoQKw,"1,5L",
v6Qwwi1IT8u4BjGrrxsStQ,PZOwW1.1ROSiob7KmFoQKw,"1,35L",
Fz8lT.EQRteRGVlk5HUyFw,ViU2USNJRHq0ozZts2ayIg,N.1,
P4HJm86DQOOeNCmPmBP.IQ,ViU2USNJRHq0ozZts2ayIg,N.2,
n28b4VLkTbyMcejPVbbuJQ,ViU2USNJRHq0ozZts2ayIg,N.3,
49tjL7ENQRyWeQ4ecO-qtg,ViU2USNJRHq0ozZts2ayIg,N.4,
5wCAVmetQaOjNsSQRDYcSg,4fbKznm1SBK0oo9kp.oM7Q,Nº30,
I14d7WI1T66zwUzXpo4-tQ,4fbKznm1SBK0oo9kp.oM7Q,Nº40,
xh4yGQ4hTxakFIk8ctAz-w,ViU2USNJRHq0ozZts2ayIg,4L,
g8d5ZTFiTKSdRIQSltMcew,ViU2USNJRHq0ozZts2ayIg,8L,
Ceow-qbrQaS6HoXqJ047Fg,ViU2USNJRHq0ozZts2ayIg,"11,5L",
9Iqeq9YzT62ElxshXzmvmA,ViU2USNJRHq0ozZts2ayIg,"2,5L",
V2nFLa5lS9CqUkR1nhuHAw,ViU2USNJRHq0ozZts2ayIg,19L,
4QLhMJ38Qi-siNNvEeyGPQ,4fbKznm1SBK0oo9kp.oM7Q,10cm,
nBiFyggJT.C784d3qqSNjA,4fbKznm1SBK0oo9kp.oM7Q,"12,5cm",
MhZZ3Jj4QXiQfwYtHBZSMg,4fbKznm1SBK0oo9kp.oM7Q,"1,3L",
H3cqf.SoQ9OW1gz0c7aY-w,4fbKznm1SBK0oo9kp.oM7Q,26L,
a-hqgCjUCSjKRz3am1mLMfg,PZOwW1.1ROSiob7KmFoQKw,360ml,
EYqiKTYjS4GKgMRB5euR1A,jeYTQJlURsa6DNeh4ubtng,505mm,
fmTt3yryRa2i-Pc6agQx9w,4fbKznm1SBK0oo9kp.oM7Q,9cm,
hIacym2MQUanRl1-xtENew,4fbKznm1SBK0oo9kp.oM7Q,"7,2cm",
6hKMNodgT9mSwY5Ewa9GPA,ViU2USNJRHq0ozZts2ayIg,100ml,
4quhNtfTSBOCnD.5qNJn-A,ViU2USNJRHq0ozZts2ayIg,360ml,
